Replicate,Harvest,Fauna Treatment,"Litter type (B, E, NL)",Soil depth (cm),Fraction,bulk density (g/cm3),volume (cm3),fraction %,g of soil in total section,Delta 13C,% Carbon,mgC/g soil,Carbon f value,litter derived C (mg/ g soil),g C in the soil in total section  ,mg litter-derived C in total section,Delta 15 N,% Nitrogen,mgN/g soil,Nitrogen f value,litter derived N (mg/ g soil),g N in the soil in total section  ,mg litter-derived N in total section,13C atom%,15 atom%
R2,H1,F,B,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-13.99257,3.824074403,38.24074403,,,,,2.91416,0.347024328,3.470243279,,,,,1.090336909,0.367366831
R2,H1,NF,B,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-13.99257,3.824074403,38.24074403,,,,,2.92411,0.347024328,3.470243279,,,,,1.090336909,0.367370462
R2,H1,F,E,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-12.7928,3.824074403,38.24074403,0.000564079,0.021570814,66.80286198,37.68211423,17.8646,0.347024328,3.470243279,0.001450684,0.005034227,6.062177623,8.794304891,1.091649144,0.372822751
R2,H1,NF,E,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-9.15919,3.824074403,38.24074403,0.002272444,0.086899938,66.80286198,151.8057438,21.3829,0.347024328,3.470243279,0.001791111,0.006215591,6.062177623,10.85803387,1.09562315,0.37410661
R3,H1,F,B,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-13.99257,3.824074403,38.24074403,,,,,2.6807,0.347024328,3.470243279,,,,,1.090336909,0.367281629
R3,H1,NF,B,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-13.99257,3.824074403,38.24074403,,,,,1.77337,0.347024328,3.470243279,,,,,1.090336909,0.366950494
R3,H1,F,E,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-11.7801,3.824074403,38.24074403,0.001040207,0.039778273,66.80286198,69.48877475,22.3082,0.347024328,3.470243279,0.00190447,0.006608973,6.062177623,11.54523273,1.092756746,0.374444255
R3,H1,NF,E,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-13.5964,3.824074403,38.24074403,0.000186262,0.00712279,66.80286198,12.44282087,15.5017,0.347024328,3.470243279,0.001331952,0.004622197,6.062177623,8.074528704,1.090770219,0.371960488
R4,H1,F,B,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-13.99257,3.824074403,38.24074403,,,,,3.25603,0.347024328,3.470243279,,,,,1.090336909,0.367491597
R4,H1,NF,B,10-May,BULK,1.112112849,1570.796327,100,1746.902778,-13.99257,3.824074403,38.24074403,,,,,1.90817,0.347024328,3.470243279,,,,,1.090336909,0.36699969
