Watershed,REP,TIME,COVER,DEPTH,FRACTION,N_Pct,C_Pct,d15N,d13C,Bulk_Density_g_cm3,Volume_cm3,fraction %,g of soil in total section,mg_N_g_soil,N_F_Value,mg_Derived_N_g_Soil,Total_g_N,Total_derived_mg_N,Total_mg_N,mg_C_g_soil,C_F_Value,mg_Derived_C_g_soil,Total_g_C,Total_derived_mg_C,Total_mg_C,CN_Ratio,Derived_CN
SPB,R2,11mts,C,0-2,POM,0.755419252,11.45717577,69.5719,-5.08859,0.335,628.3185307,11.94327941,25.16755738,0.902218319,0.003827636,0.003453363,0.190120574,0.727712268,22.70663133,13.68362514,0.003839688,0.052540845,2.883491286,11.07170564,344.383421,15.1666452,15.21440016
SPB,R2,11mts,L,0-2,POM,0.641284677,9.4761049,410.547,40.678,0.335,628.3185307,19.52475248,41.14366846,1.252092459,0.021236951,0.026590626,0.263848041,5.603327974,51.51567701,18.50186026,0.018833297,0.348451024,3.898817183,73.42758074,761.2344044,14.77675241,13.10428036
SPB,R3,11mts,B,0-2,POM,0.698367911,9.650885992,1.3827,-17.26,0.335,628.3185307,15.81632653,33.32906247,1.104561492,,,0.232759477,,36.81399899,15.26415642,,,3.216549822,,508.7400228,13.81920022,#DIV/0!
SPB,R3,11mts,C,0-2,POM,0.710688888,10.89541563,57.9546,-2.15351,0.335,628.3185307,7.885445273,16.61665859,0.560409834,0.003191146,0.00178835,0.118092746,0.376851237,9.312138875,8.591520369,0.004871412,0.041852839,1.810454018,8.819468139,142.7623608,15.33078089,23.40304948
SPB,R3,11mts,L,0-2,POM,0.538617913,8.327882111,300.652,22.0673,0.335,628.3185307,20.98249801,44.21551273,1.13015493,0.015545504,0.017568828,0.238152672,3.702203409,49.97037969,17.47397698,0.012841797,0.224397259,3.682215775,47.28626609,772.6208517,15.46157657,12.77246571
SPB,R4,11mts,B,0-2,POM,0.877598511,12.13624021,1.60048,-16.39,0.335,628.3185307,16.20490333,34.14789359,1.422139903,,,0.299681406,,48.56308208,19.66665994,,,4.144270393,,671.5750108,13.8289207,#DIV/0!
SPB,R4,11mts,C,0-2,POM,0.680107729,10.45705899,30.0717,40.3035,0.335,628.3185307,9.986047439,21.0431669,0.679158804,0.001606044,0.001090759,0.143116204,0.229850885,14.29165207,10.44246871,0.018283681,0.190926769,2.200496376,,219.742612,15.37559205,0
SPB,R4,11mts,L,0-2,POM,0.363077034,5.981971053,282.09,22.2708,0.335,628.3185307,22.33683793,47.0694548,0.810999287,0.014570156,0.011816386,0.17089838,2.490016065,38.17329426,13.36183179,0.012626471,0.168712783,2.815681161,35.55211689,628.9341376,16.4757627,14.27786647
R20B,R1,11mts,B,0-2,SILT,0.277959594,3.364189453,0.33349,-14.89,0.436,628.3185307,64.54563532,176.645215,1.79410786,,,0.491002323,,316.9205688,21.71437456,,,5.942679694,,3835.740363,12.10316004,#DIV/0!
R20B,R1,11mts,C,0-2,SILT,0.232883307,2.55957661,28.7884,-3.68665,0.436,628.3185307,68.03921569,186.2062683,1.584519753,0.001605009,0.002543168,0.433643315,0.696001422,295.0475103,17.4151585,0.003615507,0.062964629,4.766092089,17.23183985,3242.811676,10.99081186,24.75834002
R20B,R1,11mts,L,0-2,SILT,0.284440862,3.009175188,365.498,32.9677,0.436,628.3185307,67.32416816,184.2493626,1.91497444,0.018967389,0.036322064,0.524080474,9.940438041,352.8328199,20.25902164,0.015638983,0.316830498,5.544386103,86.7085608,3732.711823,10.57926478,8.722810851
R20B,R2,11mts,B,0-2,SILT,0.211834571,2.390319741,-1.48671,-15.91,0.436,628.3185307,65.19413629,178.4199996,1.38103719,,,0.377955241,,246.4046549,15.5834831,,,4.264808472,,2780.405048,11.28389822,#DIV/0!
R20B,R2,11mts,C,0-2,SILT,0.269668683,3.165773443,25.7035,-5.86151,0.436,628.3185307,65.64465409,179.6529538,1.770230739,0.001533516,0.002714677,0.484467754,0.742938913,318.0271811,20.78161026,0.00324155,0.067364636,5.687405501,18.4360112,3733.477668,11.73949238,24.81497587
R20B,R2,11mts,L,0-2,SILT,0.246178029,2.619014534,256.232,25.1512,0.436,628.3185307,67.98482125,186.0574044,1.673636929,0.013385169,0.022401914,0.458032451,6.130841936,311.3925429,17.8053235,0.013413372,0.238829419,4.872870463,65.36162192,3312.812274,10.63870137,10.66111679
R20B,R3,11mts,B,0-2,SILT,0.212489697,2.431026028,-1.01306,-14.86,0.436,628.3185307,67.36652669,184.3652872,1.431469285,,,0.39175724,,263.9132459,16.37697798,,,4.48196812,,3019.34625,11.44067718,#DIV/0!
R20B,R3,11mts,C,0-2,SILT,0.262316367,2.800534269,24.2261,-5.42887,0.436,628.3185307,67.2318612,183.9967416,1.763601758,0.001423515,0.002510514,0.482653568,0.687064783,324.496977,18.82851312,0.003042706,0.057289637,5.152891801,15.67873684,3464.385063,10.67617053,22.81988138
R20B,R3,11mts,L,0-2,SILT,0.218294666,2.412814424,327.891,36.6654,0.436,628.3185307,63.99840701,175.1475884,1.397051088,0.017082752,0.023865478,0.382337843,6.531382623,244.6901289,15.44162795,0.016836642,0.259985155,4.225986277,71.1514162,2704.563898,11.05301595,10.89377553
R20B,R4,11mts,B,0-2,SILT,0.225377883,2.697337395,-1.19153,-14.55,0.436,628.3185307,65,177.8886972,1.46495624,,,0.40092178,,260.599157,17.53269306,,,4.798258351,,3118.867928,11.96806607,#DIV/0!
R20B,R4,11mts,C,0-2,SILT,0.249244885,2.709121332,28.9787,-3.78641,0.436,628.3185307,66.79920477,182.8126694,1.664936009,0.001701616,0.002833081,0.455651227,0.775343346,304.3713962,18.09671506,0.003473575,0.062860299,4.952617025,17.20328728,3308.308788,10.86931567,22.18796018
