Sample_No,Project,Rep,Cover_Treatment,Fumigation_Treatment,Depth_cm,Top_Depth_cm,Bottom_Depth_cm,Full_name,Bulk_N_Pct,Bulk_15N_Atom_Pct,Bulk_C_Pct,Bulk_d13C,lPOM_N_Pct,lPOM_15N_Atom_Pct,lPOM_C_Pct,lPOM_d13C,CHOM_N_Pct,CHOM_15N_Atom_Pct,CHOM_C_Pct,CHOM_d13C,MAOM_N_Pct,MAOM_15N_Atom_Pct,MAOM_C_Pct,MAOM_d13C,Bulk_Density_g_cm3,Proportion_lPOM_Mass,Proportion_CHOM_Mass,Proportion_MAOM_Mass
11,Bluestem,3,B,F,5-10,5,10,11.Bluestem R3 B F 5-10 (NA),0.26,0.3692,3.61,-14.4,,,,,,,,,,,,,1,,,
12,Bluestem,4,B,F,5-10,5,10,12.Bluestem R4 B F 5-10 (NA),0.28,0.3688,3.88,-15.25,,,,,,,,,,,,,1,,,
13,Bluestem,1,B,NF,0-2,0,2,13.Bluestem R1 B NF 0-2 (NA),0.33,0.3682,4.79,-18.38,,,,,,,,,,,,,1.17,,,
14,Bluestem,2,B,NF,0-2,0,2,14.Bluestem R2 B NF 0-2 (NA),0.34,0.3682,4.91,-17.7,,,,,,,,,,,,,1.17,,,
15,Bluestem,3,B,NF,0-2,0,2,15.Bluestem R3 B NF 0-2 (NA),0.35,0.368,5.08,-15.62,,,,,,,,,,,,,1.17,,,
16,Bluestem,4,B,NF,0-2,0,2,16.Bluestem R4 B NF 0-2 (NA),0.33,0.3684,4.93,-16.3,,,,,,,,,,,,,1.17,,,
17,Bluestem,1,B,NF,2-5,2,5,17.Bluestem R1 B NF 2-5 (NA),0.26,0.3688,3.69,-16.33,,,,,,,,,,,,,0.78,,,
18,Bluestem,2,B,NF,2-5,2,5,18.Bluestem R2 B NF 2-5 (NA),0.29,0.3687,4.05,-15.98,,,,,,,,,,,,,0.78,,,
19,Bluestem,3,B,NF,2-5,2,5,19.Bluestem R3 B NF 2-5 (NA),0.31,0.3686,4.35,-14.59,,,,,,,,,,,,,0.78,,,
20,Bluestem,4,B,NF,2-5,2,5,20.Bluestem R4 B NF 2-5 (NA),0.29,0.3687,4.12,-15.11,,,,,,,,,,,,,0.78,,,
21,Bluestem,1,B,NF,5-10,5,10,21.Bluestem R1 B NF 5-10 (NA),0.24,0.3697,3.27,-15.05,,,,,,,,,,,,,1,,,
