Replicate,Harvest,Fauna Treatment,"Litter type (B, E, NL)",Soil depth (cm),Fraction,bulk density (g/cm3),volume (cm3),fraction %,g of soil in total section,Delta 13C,% Carbon,mgC/g soil,Carbon f value,litter derived C (mg/ g soil),g C in the soil in total section  ,mg litter-derived C in total section,Delta 15 N,% Nitrogen,mgN/g soil,Nitrogen f value,litter derived N (mg/ g soil),g N in the soil in total section  ,mg litter-derived N in total section,13C atom%,15 atom%
R1,H1,NF,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,27.34853258,12.2043277,,,,,-1.46459,1.517378144,0.677132495,,,,,1.085465099,0.365768764
R1,H1,F,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-11.4327,47.46939763,21.18329685,0.003290721,0.040222454,5.3894559,17.73519737,106.184,1.109908007,0.495298276,0.010360042,0.006312219,0.268650703,2.783232607,1.093136695,0.405041291
R1,H1,NF,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-5.76942,41.24397698,18.40519264,0.005947784,0.0726997,5.3894559,32.05531738,230.214,1.485725789,0.66300758,0.022470892,0.013691178,0.268650703,6.036820808,1.099330186,0.450251742
R2,H1,F,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,24.96229755,11.13946638,,,,,-0.816475,1.456471427,0.649952772,,,,,1.085465099,0.366005303
R2,H1,NF,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,33.84175304,15.10193802,,,,,-0.952373,1.31803986,0.588177458,,,,,1.085465099,0.365955705
R2,H1,F,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-12.76,26.00142941,11.60318069,0.002667987,0.032610779,5.3894559,14.37899826,125.263,0.69158654,0.308621632,0.012229427,0.007451207,0.268650703,3.285444056,1.091685018,0.411998492
R2,H1,NF,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,1.97764,40.31093336,17.98882039,0.009582501,0.117126813,5.3894559,51.64446519,196.17,1.201636353,0.536232201,0.019120176,0.011649638,0.268650703,5.136648862,1.10780129,0.437846375
R3,H1,F,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,18.06382357,8.06101101,,,,,-0.725865,1.372720525,0.612578794,,,,,1.085465099,0.366038372
R3,H1,NF,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,31.60349053,14.10310969,,,,,-1.60301,1.300800285,0.580484269,,,,,1.085465099,0.365718246
R3,H1,F,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-6.1996,26.34649116,11.75716506,0.005745954,0.070232745,5.3894559,30.96756802,183.394,0.639011204,0.285159802,0.017859371,0.010881448,0.268650703,4.797932675,1.098859759,0.433190103
R3,H1,NF,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,3.31669,45.38751622,20.25425385,0.010210748,0.124805871,5.3894559,55.03037524,299.468,1.478921077,0.659970966,0.029200986,0.017791724,0.268650703,7.844865324,1.109265341,0.475477818
R4,H1,F,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,23.54,10.50476376,,,,,1.916,1.26,0.562277075,,,,,1.085465099,0.367002547
R4,H1,NF,B,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-18.446565,26.06872413,11.63321107,,,,,-1.28528,1.249419208,0.557555379,,,,,1.085465099,0.365834206
R4,H1,F,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,9.5356,21.97514255,9.806443549,0.013128497,0.160469492,5.3894559,70.75545639,397.73,0.556010595,0.248120643,0.03840325,0.023398526,0.268650703,10.31706005,1.116064221,0.511248255
R4,H1,NF,E,0-2,LF,0.701758354,628.3185307,4.462516466,19.67647469,-5.78947,25.62020101,11.43305689,0.005938377,0.07258472,5.3894559,32.00461913,141.017,0.811705925,0.362225106,0.013802375,0.008409581,0.268650703,3.70801767,1.09930826,0.417742492
R1,H1,F,B,5-Feb,LF,0.922677204,942.4777961,2.735983694,23.7921902,-17.657785,39.30337244,10.75333861,,,,,-0.615047,1.255596638,0.343529193,,,,,1.086327907,0.366078817
R1,H1,NF,B,5-Feb,LF,0.922677204,942.4777961,2.735983694,23.7921902,-17.657785,26.69,7.302340479,,,,,0.102,1.24,0.339261978,,,,,1.086327907,0.366340512
R1,H1,F,E,5-Feb,LF,0.922677204,942.4777961,2.735983694,23.7921902,-15.051,6.64,1.816693173,0.001223488,0.00847084,6.020710205,7.366265861,44.187,0.26,0.071135576,0.004345783,0.001414184,0.28298204,1.229778563,1.089179235,0.38242723
